country_name,n_ironhack_campuses,country_iso_code,gdp,taxes_per_gdp,area,coast_ratio,population,climate,min_drinking_age,internet_users_ratio,avg_chocolate_consumption,paid_leave,olympic_medals,median_age,birth_rate,life_expectancy,obesity_rate,years_in_school,christian,muslim,unaffiliated,hindu,buddhist,folk_religion,other_religion,jewish,happiness_index_2019,Af,Am,Aw,BSh,BSk,BWh,Cfa,Cfb,Csa,Csb,Cwa,Dfa,Dfb,Dfc,ET
Latvia,0,428,56920000000,37.5,64589,0.008221214,1862687,Dfb,18,0.863113878,1.731363636,32,30,44.4,8.96,75.65,23.6,12.8,1260000,5000,990000,5000,5000,5000,5000,5000,5.94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lebanon,0,422,79510000000,21.5,10400,0.021634615,5261372,Csa,18,0.906424978,1.027924528,37,4,33.7,13.35,78.53,32.0,8.7,1620000,2590000,10000,5000,5000,5000,5000,5000,5.197,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lesotho,0,426,4880000000,39.7,30355,0.0,2177740,Cfb,18,0.26133239,0.01490566,22,0,24.7,23.3,58.9,16.6,6.3,2100000,5000,70000,5000,5000,5000,5000,5000,3.802,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Liberia,0,430,6850000000,16.9,111369,0.005198933,5214030,Am,18,0.073612733,0.055283019,21,0,18.0,36.96,65.1,9.9,4.7,3430000,480000,60000,5000,5000,20000,5000,5000,3.975,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,440,102660000000,33.7,65300,0.001378254,2711566,Dfb,18,0.821225078,0.079545455,34,26,44.5,9.42,75.61,26.3,13.0,2980000,5000,330000,5000,5000,5000,5000,5000,6.149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Luxembourg,0,442,69720000000,44.4,2586,0.0,639589,Cfb,16,0.919270031,1.74974359,0,4,39.5,11.62,82.78,22.6,12.1,360000,10000,140000,5000,5000,5000,5000,5000,7.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Madagascar,0,450,41820000000,15.9,587041,0.008224298,27534354,Aw,18,0.091412858,0.050943396,35,0,20.3,29.22,67.86,5.3,6.1,17680000,620000,1440000,10000,5000,940000,20000,5000,3.933,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,454,28440000000,21.7,118484,0.0,20308502,Aw,18,0.134638439,0.009433962,18,0,16.8,28.59,72.16,5.8,4.5,12320000,1930000,370000,5000,5000,260000,5000,5000,3.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,458,855600000000,16.4,329847,0.014173238,33519406,Af,21,0.770581794,0.293773585,19,13,29.2,14.72,75.87,15.6,10.2,2670000,18100000,190000,1720000,5010000,650000,60000,5000,5.339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,466,44890000000,20.0,1240192,0.0,20137527,Aw,0,0.118976178,0.005471698,22,0,16.0,41.6,62.01,8.6,2.3,370000,14510000,70000,5000,5000,410000,5000,5000,4.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,470,20600000000,40.4,316,0.62278481,460891,Csa,17,0.793074718,1.853207547,40,0,42.3,9.84,83.0,28.9,11.3,400000,5000,10000,5000,5000,5000,5000,5000,6.726,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mauritania,0,478,23170000000,27.4,1030700,0.000731542,4079284,BWh,-1,0.195820884,0.025283019,22,0,21.0,28.49,64.86,12.7,4.5,5000,3430000,5000,5000,5000,20000,5000,5000,4.49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mauritius,0,480,24640000000,22.5,2040,0.086764706,1386129,Am,18,0.5767645,0.370754717,38,1,36.3,12.44,76.7,10.8,9.3,420000,220000,5000,630000,5000,5000,5000,5000,5.888,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,1,484,2306320000000,22.7,1964375,0.004749602,130207371,BSh,18,0.636241776,0.50754717,13,73,29.3,17.29,76.94,28.9,8.6,107910000,5000,5330000,5000,5000,70000,20000,70000,6.595,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Moldova,0,498,32260000000,30.2,33851,0.0,3323875,Dfb,18,0.787271483,0.674090909,20,6,37.7,10.45,72.16,18.9,11.6,3480000,20000,50000,5000,5000,5000,5000,20000,5.529,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mongolia,0,496,37600000000,26.6,1564116,0.0,3198913,BSk,21,0.230022823,0.32490566,15,30,29.8,16.32,71.08,20.6,10.1,60000,90000,990000,5000,1520000,100000,5000,5000,5.285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Montenegro,0,499,11360000000,37.2,13812,0.014407761,607414,Dfb,18,0.723248065,4.1825,21,1,39.6,11.35,77.51,23.3,11.3,490000,120000,20000,5000,5000,5000,5000,5000,5.523,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Morocco,0,504,259420000000,20.9,716550,0.002560882,36561813,Csa,16,0.618041808,0.139433962,25,24,29.1,17.58,73.56,26.1,5.5,20000,31930000,5000,5000,5000,5000,5000,5000,5.208,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mozambique,0,508,38420000000,26.7,799380,0.003089895,30888034,Aw,18,0.092452307,0.023962264,19,2,17.0,38.03,56.49,7.2,3.5,13260000,4200000,4200000,5000,5000,1720000,5000,5000,4.466,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,516,22600000000,32.2,824292,0.001907091,2678191,BSh,18,0.482394273,0.258867925,20,5,21.8,25.33,65.87,17.2,6.8,2230000,5000,40000,5000,5000,5000,5000,5000,4.639,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,524,110720000000,23.8,147181,0.0,30424878,Cwa,18,0.332095991,0.007358491,28,0,25.3,17.78,72.12,4.1,4.9,140000,1370000,80000,24170000,3080000,1100000,20000,5000,4.913,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Netherlands,1,528,945480000000,43.4,41543,0.010856221,17337403,Cfb,18,0.936929712,0.019056604,28,451,42.8,10.98,81.95,20.4,12.2,8410000,1000000,6990000,80000,40000,30000,30000,30000,7.488,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
New Zealand,0,554,215600000000,36.8,268838,0.056294125,4991442,Cfb,18,0.869622846,1.552830189,31,140,37.2,12.83,82.33,30.8,12.5,2490000,50000,1600000,90000,70000,20000,30000,5000,7.307,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nicaragua,0,558,34980000000,28.0,130370,0.006980133,6243931,Aw,18,0.271518055,0.234339623,20,0,27.3,16.71,74.51,23.7,6.7,4970000,5000,730000,5000,5000,80000,5000,5000,6.105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,562,28970000000,21.4,1267000,0.0,23605767,BWh,18,0.047055366,0.001886792,34,2,14.8,47.28,59.7,5.5,2.0,120000,15270000,110000,5000,5000,5000,5000,5000,4.628,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nigeria,0,566,1013530000000,3.4,923768,0.000923392,219463862,Aw,18,0.38935819,0.053584906,5,27,18.6,34.38,60.87,8.9,6.2,78050000,77300000,680000,5000,10000,2290000,90000,5000,5.265,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,578,342060000000,54.4,323802,0.077664746,5509591,Dfc,18,0.940836988,2.419622642,35,528,39.5,12.09,82.35,23.1,12.6,4140000,180000,490000,20000,30000,5000,10000,5000,7.554,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pakistan,0,586,1021130000000,15.4,796095,0.001313914,238181034,BWh,-1,0.145833144,0.007924528,29,10,22.0,26.95,69.37,8.6,5.2,2750000,167410000,20000,3330000,20000,30000,20000,5000,5.653,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Panama,0,591,109520000000,20.1,75420,0.033015115,3928646,Am,18,0.559845046,0.632641509,40,3,30.1,16.67,79.47,22.7,10.2,3270000,30000,170000,5000,5000,20000,20000,10000,6.321,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,600,87980000000,14.2,406752,0.0,7272639,Cfa,20,0.627838533,0.223962264,22,1,29.7,16.43,78.13,20.3,8.4,6250000,5000,70000,5000,5000,110000,10000,5000,5.743,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Peru,0,604,371290000000,27.1,1285216,0.001878283,32201224,Cfb,18,0.511205009,0.546603774,34,4,29.1,16.67,74.96,19.7,9.2,27780000,5000,860000,5000,50000,290000,90000,5000,5.697,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Philippines,0,608,871560000000,15.6,300000,0.120963333,110818325,Af,18,0.573812815,0.337924528,17,14,24.1,22.66,70.32,6.4,9.3,86370000,5150000,90000,5000,80000,1430000,130000,5000,5.631,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,616,1223460000000,39.5,312685,0.00157027,38185913,Dfb,18,0.780167309,0.951132075,33,320,41.9,8.69,78.53,23.1,12.3,36100000,5000,2150000,5000,5000,5000,5000,10000,6.182,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Portugal,1,620,331640000000,42.9,92090,0.019470084,10263850,Csb,18,0.753266172,1.110943396,35,28,44.6,8.02,81.29,20.8,9.2,9810000,30000,800000,5000,20000,10000,5000,5000,5.693,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Romania,0,642,556070000000,29.3,238391,0.000943828,21230362,Dfb,18,0.714349101,0.655849057,34,309,42.5,8.39,76.3,22.5,11.0,21380000,70000,20000,5000,5000,5000,5000,5000,6.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Russia,0,643,3875690000000,16.4,17098242,0.002202156,142320790,Dfb,18,0.80747498,1.292272727,38,547,40.3,9.71,72.16,23.1,12.0,104750000,14290000,23180000,30000,170000,310000,5000,230000,5.648,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rwanda,0,646,27180000000,21.3,26338,0.0,12943132,Aw,18,0.204988793,0.001886792,26,0,19.7,27.18,65.48,5.8,4.1,9920000,190000,380000,5000,5000,100000,20000,5000,3.334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,682,1543240000000,26.4,2149690,0.001228084,34783757,BWh,-1,0.887693586,0.450377358,30,4,30.8,14.56,76.4,35.4,9.5,1200000,25520000,180000,310000,90000,70000,70000,5000,6.375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Senegal,0,686,55260000000,19.6,196722,0.002699241,16082442,BSh,18,0.429638422,0.04245283,32,1,19.4,31.31,63.83,8.8,3.0,450000,11980000,5000,5000,5000,5000,5000,5000,4.681,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Serbia,0,688,125800000000,42.7,77474,0.002568604,6974289,Dfb,18,0.744520481,1.04625,31,24,43.4,8.74,76.56,21.5,11.1,7490000,330000,260000,5000,5000,5000,5000,5000,5.603,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sierra Leone,0,694,13150000000,15.6,71740,0.005603568,6807277,Am,0,0.083454662,0.266981132,18,0,19.1,35.04,60.19,8.7,3.5,1230000,4580000,5000,5000,5000,50000,5000,5000,4.374,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0,703,165570000000,39.4,49035,0.0,5436066,Dfb,18,0.807931508,1.06,35,40,41.8,9.1,78.07,20.5,12.5,4660000,5000,780000,5000,5000,5000,5000,5000,6.198,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Slovenia,0,705,76750000000,43.1,20273,0.002298624,2102106,Dfb,18,0.797507357,2.955,33,45,44.9,8.5,81.61,20.2,12.2,1590000,70000,370000,5000,5000,5000,5000,5000,6.118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
South Africa,0,710,680040000000,26.6,1219090,0.002295155,56978635,Cfb,18,0.545942598,0.244150943,27,89,28.0,18.89,65.04,28.3,10.1,40710000,860000,7450000,570000,100000,210000,170000,70000,4.722,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
South Korea,0,410,2187800000000,23.2,99720,0.024197754,51715162,Dfa,19,0.95349126,0.22,30,357,43.2,6.89,82.78,4.7,12.1,14170000,100000,22340000,5000,11050000,400000,110000,5000,5.895,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
South Sudan,0,728,20010000000,8.5,644329,0.0,10984074,Aw,18,0.074136973,0.04,32,1,18.6,38.26,58.6,6.6,4.8,6010000,610000,50000,5000,5000,3270000,5000,5000,2.853,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spain,2,724,1714860000000,37.9,505370,0.009822506,47260584,Cfb,18,0.898824907,1.756226415,36,171,43.9,8.05,82.21,23.8,9.8,36240000,980000,8740000,20000,5000,20000,10000,60000,6.354,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sri Lanka,0,144,274800000000,13.8,65610,0.020423716,23044123,Af,21,0.334179608,0.166792453,40,2,33.7,14.01,77.75,5.2,10.9,1530000,2040000,5000,2830000,14450000,5000,5000,5000,4.366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,752,524750000000,50.6,450295,0.007146426,10261767,Dfb,18,0.90157699,1.513207547,25,661,41.1,11.93,82.6,20.6,12.4,6310000,430000,2540000,20000,40000,20000,20000,10000,7.343,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Switzerland,0,756,590710000000,35.7,41277,0.0,8453550,Dfb,18,0.879845745,1.447358491,27,358,42.7,10.41,83.03,19.5,13.4,5570000,380000,1600000,40000,40000,5000,10000,20000,7.48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tanzania,0,834,152790000000,15.2,947300,0.00150322,62092761,Aw,18,0.2232601,0.006226415,37,2,18.2,33.71,69.9,8.4,5.8,27540000,15770000,650000,50000,5000,800000,30000,5000,3.231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,0,764,1206620000000,15.2,513120,0.006273386,69480520,Aw,20,0.561128947,0.163018868,19,35,39.0,10.25,77.41,10.0,7.6,600000,3770000,190000,70000,64420000,60000,5000,5000,6.008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,768,17450000000,21.5,56785,0.000986176,8283189,Aw,0,0.122007237,0.046037736,22,1,20.0,32.34,70.99,8.4,4.8,2640000,840000,370000,5000,5000,2150000,30000,5000,4.085,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad & Tobago,0,11,33210000000,24.5,5128,0.070592824,1221047,Am,18,0.769804111,0.991132075,24,19,37.8,11.12,74.92,18.6,10.9,880000,80000,30000,300000,5000,30000,20000,5000,6.192,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0,788,114970000000,24.7,163610,0.007016686,11811335,Csa,18,0.62585999,0.261509434,16,15,32.7,15.21,76.57,26.9,7.2,20000,10430000,20000,5000,5000,5000,5000,5000,4.461,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Turkey,0,792,2393960000000,20.3,783562,0.009188807,82482383,Csa,18,0.699848148,0.184339623,26,104,32.2,14.54,75.96,32.1,8.0,320000,71330000,860000,5000,40000,20000,150000,20000,5.373,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Uganda,0,800,99610000000,14.5,241038,0.0,44712143,Aw,18,0.215169311,0.022830189,28,11,15.7,41.6,68.58,5.3,6.1,28980000,3840000,170000,100000,5000,290000,40000,5000,4.189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,804,516680000000,26.6,603550,0.004609394,43745640,Dfb,18,0.591682028,0.332272727,29,147,41.2,9.23,73.18,24.1,11.3,38100000,560000,6690000,10000,20000,5000,5000,50000,4.332,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
United Arab Emirates,0,784,655790000000,28.8,83600,0.01576555,9856612,BWh,21,0.968988634,0.808867925,32,2,38.4,10.87,79.37,31.7,10.8,940000,5780000,90000,490000,150000,5000,60000,5000,6.825,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
United Kingdom,0,826,2797980000000,39.1,243610,0.051020073,67081000,Cfb,18,0.921048851,2.234150943,28,948,40.6,11.77,81.3,27.8,12.9,39890000,2960000,17220000,890000,280000,60000,460000,290000,7.054,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,1,840,19846720000000,17.0,9833517,0.002026132,334998398,Dfa,21,0.852299658,2.236981132,0,2980,38.5,12.33,80.43,36.2,13.4,243060000,2770000,50980000,1790000,3570000,630000,1900000,5690000,6.892,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Uruguay,0,858,75060000000,29.8,176215,0.003745425,3398239,Cfa,18,0.67698505,0.841132075,25,10,35.5,12.75,78.19,27.9,8.7,1950000,5000,1370000,5000,5000,30000,5000,5000,6.293,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Uzbekistan,0,860,239420000000,31.2,447400,0.0,30842796,BSk,20,0.509208115,0.106363636,15,37,30.1,15.85,75.03,16.6,11.5,630000,26550000,220000,5000,10000,10000,5000,10000,6.174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Venezuela,0,862,269068000000,44.2,912050,0.003070007,29069153,Aw,18,0.734610293,0.601320755,15,19,30.0,17.55,72.22,25.6,10.3,25890000,90000,2900000,5000,5000,60000,20000,5000,4.707,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,0,704,798210000000,24.8,331210,0.010398237,102789598,Aw,18,0.664151591,0.021698113,22,5,31.9,16.04,75.25,2.1,8.2,7170000,160000,26040000,5000,14380000,39750000,350000,5000,5.175,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,887,73630000000,9.0,527968,0.003610067,30399243,BWh,-1,0.251976143,0.090188679,37,0,19.8,25.21,67.18,17.1,3.0,40000,23830000,20000,150000,5000,5000,5000,5000,3.38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zambia,0,894,60120000000,17.4,752618,0.0,19077816,Cwa,18,0.123265996,0.051886792,31,2,16.9,35.23,65.92,8.1,7.0,12770000,70000,70000,10000,5000,40000,120000,5000,4.107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zimbabwe,0,716,40790000000,21.5,390757,0.0,14829988,BSh,18,0.256009513,0.022641509,33,8,20.5,33.34,62.83,15.5,8.2,10930000,110000,990000,5000,5000,480000,40000,10000,3.663,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
